Strain	Type	Accension	Host1	Location	A0	Year	Subtype	Host2	Group
REF_KY354180_A_swine_Minnesota_03012_2010_H1N1_Swine_Classical_2010_05_12	REF	KY354180	swine	Minnesota	3012	2010	H1N1	Swine	Classical
REF_KY354185_A_swine_Minnesota_03003_2010_H1N1_Swine_Classical_2010_04_21	REF	KY354185	swine	Minnesota	3003	2010	H1N1	Swine	Classical
REF_JQ809784_A_swine_Missouri_A01076190_2010_H1N1_Swine_Classical_2010_02_07	REF	JQ809784	swine	Missouri	A01076190	2010	H1N1	Swine	Classical
REF_KY354183_A_swine_Missouri_03013_2010_H1N2_Swine_02_2010_05_04	REF	KY354183	swine	Missouri	3013	2010	H1N2	Swine	2
REF_GU984412_A_swine_MN_8761_2010_H1N1_Swine_Pandemic_2010_02_16	REF	GU984412	swine	Minnesota	8761	2010	H1N1	Swine	Pandemic
REF_KY354178_A_swine_North_Carolina_03029_2010_H1N2_Swine_02_2010_05_26	REF	KY354178	swine	NorthCarolina	3029	2010	H1N2	Swine	2
REF_CY107068_A_swine_Illinois_A01201606_2011_H3N2_Swine_02B_2011_06_01	REF	CY107068	swine	Illinois	A01201606	2011	H3N2	Swine	02B
REF_JQ922351_A_swine_Illinois_A01116954_2011_H1N1_Swine_Pandemic_2011_11_10	REF	JQ922351	swine	Illinois	A01116954	2011	H1N1	Swine	Pandemic
REF_JX092572_A_swine_Indiana_A01202866_2011_H3N2_Swine_02B_2011_11_16	REF	JX092572	swine	Indiana	A01202866	2011	H3N2	Swine	02B
REF_JX092356_A_swine_Iowa_A01202613_2011_H3N2_Swine_02B_2011_09_27	REF	JX092356	swine	Iowa	A01202613	2011	H3N2	Swine	02B
REF_KC134374_A_swine_Illinois_A01203922_2012_H1N1_Swine_Classical_2012_10	REF	KC134374	swine	Illinois	A01203922	2012	H1N1	Swine	Classical
REF_KC146968_A_swine_Iowa_A01203988_2012_H1N1_Swine_Classical_2012_10	REF	KC146968	swine	Iowa	A01203988	2012	H1N1	Swine	Classical
REF_KC790355_A_swine_Illinois_A01445942_2013_H1N1_Swine_Classical_2013_02_27	REF	KC790355	swine	Illinois	A01445942	2013	H1N1	Swine	Classical
REF_KC534989_A_swine_Iowa_A01432370_2013_H1N2_Swine_02A_2013_01	REF	KC534989	swine	Iowa	A01432370	2013	H1N2	Swine	02A
REF_KC534986_A_swine_Michigan_A01432375_2013_H3N2_Swine_02B_2013_01	REF	KC534986	swine	Michigan	A01432375	2013	H3N2	Swine	02B
REF_KC871057_A_swine_Ohio_A01432602_2013_H1N1_Swine_Pandemic_2013_03_12	REF	KC871057	swine	Ohio	A01432602	2013	H1N1	Swine	Pandemic
REF_KC844202_A_swine_South_Dakota_A01349306_2013_H1N1_Swine_Classical_2013_03_12	REF	KC844202	swine	SouthDakota	A01349306	2013	H1N1	Swine	Classical
REF_KJ701785_A_swine_Illinois_A01493472_2014_H1N1_Swine_Pandemic_2014_03_26	REF	KJ701785	swine	Illinois	A01493472	2014	H1N1	Swine	Pandemic
REF_KP662639_A_swine_Minnesota_A01567490_2014_H1N1_Swine_Classical_2014_12_30	REF	KP662639	swine	Minnesota	A01567490	2014	H1N1	Swine	Classical
REF_KJ941381_A_swine_Missouri_A01410819_2014_H3N1_Swine_Classical_2014_01_15	REF	KJ941381	swine	Missouri	A01410819	2014	H3N1	Swine	Classical
REF_KR780631_A_swine_Ohio_A01847657_2015_H1N1_Swine_Classical_2015_04_20	REF	KR780631	swine	Ohio	A01847657	2015	H1N1	Swine	Classical
REF_KT313465_A_swine_South_Dakota_A01823237_2015_H1N2_Swine_02B_2015_06_24	REF	KT313465	swine	SouthDakota	A01823237	2015	H1N2	Swine	02B
REF_KX255757_A_swine_Ohio_A01104092_2016_H1N1_Swine_Pandemic_2016_04_20	REF	KX255757	swine	Ohio	A01104092	2016	H1N1	Swine	Pandemic
REF_CY120994_A_Texas_1_1977_H3N2_Human_Human_N2_1977	REF	CY120994	human	Texas	1	1977	H3N2	Human	N2
REF_CY121199_A_Victoria_3_1975_H3N2_Human_Human_N2_1975	REF	CY121199	human	Victoria	3	1975	H3N2	Human	N2
REF_CY112887_A_Sydney_5_1997_H3N2_Human_Human_N2_1997	REF	CY112887	human	Sydney	5	1997	H3N2	Human	N2
REF_CY112823_A_Wuhan_359_1995_H3N2_Human_Human_N2_1995	REF	CY112823	human	Wuhan	359	1995	H3N2	Human	N2
REF_DQ508827_A_Bangkok_1_1979_H3N2_Human_Human_N2_1979	REF	DQ508827	human	Bangkok	1	1979	H3N2	Human	N2
REF_CY113679_A_Beijing_32_1992_H3N2_Human_Human_N2_1992	REF	CY113679	human	Beijing	32	1992	H3N2	Human	N2
REF_CY114463_A_Beijing_353_1989_H3N2_Human_Human_N2_1989	REF	CY114463	human	Beijing	353	1989	H3N2	Human	N2
REF_AF268138_A_Swine_Colorado_23619_99_H3N2_Swine_Human_N2_1999	REF	AF268138	Swine	Colorado	23619	99	H3N2	Swine	N2
REF_CY116588_A_Leningrad_360_1986_H3N2_Human_Human_N2_1986	REF	CY116588	human	Leningrad	360	1986	H3N2	Human	N2
REF_CY121247_A_Philippines_2_1982_H3N2_Human_Human_N2_1982	REF	CY121247	human	Philippines	2	1982	H3N2	Human	N2
REF_CY121183_A_PortChalmers_1_1973_H3N2_Human_Human_N2_1973	REF	CY121183	human	PortChalmers	1	1973	H3N2	Human	N2
REF_CY121311_A_Shanghai_11_1987_H3N2_Human_Human_N2_1987	REF	CY121311	human	Shanghai	11	1987	H3N2	Human	N2
REF_CY121295_A_Sichuan_2_1987_H3N2_Human_Human_N2_1987	REF	CY121295	human	Sichuan	2	1987	H3N2	Human	N2
REF_KF356051_A_Taiwan_1_1986_H1N1_Human_Human_seasonal_1986	REF	KF356051	human	Taiwan	1	1986	H1N1	Human	seasonal
REF_CY033600_A_Texas_36_1991_H1N1_Human_Human_seasonal_1991	REF	CY033600	human	Texas	36	1991	H1N1	Human	seasonal
REF_CY164114_A_Wisconsin_67_2005_H3N2_Human_Human_seasonal_N2	REF	CY164114	human	Wisconsin	67	2005	H3N2	Human	seasonal
REF_CY121880_A_USSR_90_1977_H1N1_Human_Human_seasonal_1977	REF	CY121880	human	USSR	90	1977	H1N1	Human	seasonal
REF_KJ942682_A_Victoria_361_2011_H3N2_Human_Human_seasonal_N2_2011	REF	KJ942682	human	Victoria	361	2011	H3N2	Human	seasonal
REF_CY033616_A_Beijing_262_1995_H1N1_Human_Human_seasonal_1995	REF	CY033616	human	Beijing	262	1995	H1N1	Human	seasonal
REF_CY020295_A_Brazil_11_1978_H1N1_Human_Human_seasonal_1978	REF	CY020295	human	Brazil	11	1978	H1N1	Human	seasonal
REF_CY116578_A_Brisbane_10_2007_H3N2_Human_Human_seasonal_N2_2007	REF	CY116578	human	Brisbane	10	2007	H3N2	Human	seasonal
REF_CY163866_A_Brisbane_59_2007_H1N1_Human_Human_seasonal_2007_07_01	REF	CY163866	human	Brisbane	59	2007	H1N1	Human	seasonal
REF_EF566040_A_New_Caledonia_20_1999_H1N1_Human_Human_seasonal_1999_06_09	REF	EF566040	human	NewCaledonia	20	1999	H1N1	Human	seasonal
REF_CY121263_A_Chile_1_1983_H1N1_Human_Human_seasonal_1983	REF	CY121263	human	Chile	1	1983	H1N1	Human	seasonal
REF_CY112935_A_Fujian_411_2002_H3N2_Human_Human_seasonal_N2_2002	REF	CY112935	human	Fujian	411	2002	H3N2	Human	seasonal
REF_FJ638300_A_swine_IL_00685_2005_H1N1_Swine_Human_seasonal_2005	REF	FJ638300	swine	Illinois	685	2005	H1N1	Swine	seasonal
REF_CY122317_A_Memphis_8_2003_H1N2_Human_Human_seasonal_N2_2003	REF	CY122317	human	Memphis	8	2003	H1N2	Human	seasonal
REF_EU100545_A_Michigan_2_2003_N2_Human_Human_seasonal_N2_2003_02_05	REF	EU100545	human	Michigan	2	2003	N2	Human	seasonal
REF_FJ611900_A_swine_Minnesota_07002083_2007_H1N1_Swine_Human_seasonal_2007	REF	FJ611900	swine	Minnesota	7002083	2007	H1N1	Swine	seasonal
REF_CY121375_A_Moscow_10_1999_H3N2_Human_Human_seasonal_N2_1999	REF	CY121375	human	Moscow	10	1999	H3N2	Human	seasonal
REF_FJ638308_A_swine_NC_00573_2005_H1N1_Swine_Human_seasonal_2005	REF	FJ638308	swine	NorthCarolina	573	2005	H1N1	Swine	seasonal
REF_GQ293082_A_Perth_16_2009_H3N2_Human_Human_seasonal_N2_2009_04_07	REF	GQ293082	human	Perth	16	2009	H3N2	Human	seasonal
REF_CY020479_A_Singapore_6_1986_H1N1_Human_Human_seasonal_1986	REF	CY020479	human	Singapore	6	1986	H1N1	Human	seasonal
REF_EU124136_A_Solomon_Islands_3_2006_H1N1_Human_Human_seasonal_2006_08_21	REF	EU124136	human	SolomonIslands	3	2006	H1N1	Human	seasonal
REF_EPI_ISL_230377_A_Switzerland_9715293_2013_H1N2_Human_Human_seasonal_N2_2013_12_06	REF	EPIISL230377	human	Switzerland	9715293	2013	H1N2	Human	seasonal
